Descriptor                     coef    stderr          t      pvals      y      z
NdssC          -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
NaasC           1.889e-05   6.59e-06      2.865      0.009    5.28e-06    3.25e-05
NaaaC                   0          0        nan        nan           0           0
NssssC         -2.922e-06   9.46e-07     -3.089      0.005   -4.87e-06    -9.7e-07
NsNH3                   0          0        nan        nan           0           0
NsNH2                   0          0        nan        nan           0           0
NssNH2                  0          0        nan        nan           0           0
NdNH                    0          0        nan        nan           0           0
NssNH                   0          0        nan        nan           0           0
NaaNH                   0          0        nan        nan           0           0
NtN                     0          0        nan        nan           0           0
NsssNH                  0          0        nan        nan           0           0
NdsN                    0          0        nan        nan           0           0
NaaN                    0          0        nan        nan           0           0
NsssN           -3.95e-06   1.23e-05     -0.321      0.751   -2.94e-05    2.15e-05
NddsN                   0          0        nan        nan           0           0
NaasN          -2.377e-15   1.01e-14     -0.235      0.816   -2.32e-14    1.85e-14
NssssN                  0          0        nan        nan           0           0
NsOH           -1.173e-05   1.39e-05     -0.842      0.408   -4.05e-05     1.7e-05
NdO            -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
NssO           -1.188e-05    1.7e-05     -0.698      0.492    -4.7e-05    2.33e-05
NaaO                    0          0        nan        nan           0           0
NsF             3.277e-05    1.8e-05      1.822      0.081   -4.35e-06    6.99e-05
NsSiH3                  0          0        nan        nan           0           0
NssSiH2                 0          0        nan        nan           0           0
NsssSiH                 0          0        nan        nan           0           0
NssssSi                 0          0        nan        nan           0           0
NsPH2                   0          0        nan        nan           0           0
NssPH                   0          0        nan        nan           0           0
NsssP                   0          0        nan        nan           0           0
NdsssP                  0          0        nan        nan           0           0
NsssssP                 0          0        nan        nan           0           0
NsSH                    0          0        nan        nan           0           0
NdS                     0          0        nan        nan           0           0
NssS            8.574e-06   1.58e-05      0.541      0.593   -2.41e-05    4.13e-05
NaaS           -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
NdssS                   0          0        nan        nan           0           0
NddssS                  0          0        nan        nan           0           0
NsCl           -2.329e-05    1.8e-05     -1.296      0.207   -6.04e-05    1.38e-05
NsGeH3                  0          0        nan        nan           0           0
NssGeH2                 0          0        nan        nan           0           0
NsssGeH                 0          0        nan        nan           0           0
NssssGe                 0          0        nan        nan           0           0
NsAsH2                  0          0        nan        nan           0           0
NssAsH                  0          0        nan        nan           0           0
NsssAs                  0          0        nan        nan           0           0
NsssdAs                 0          0        nan        nan           0           0
NsssssAs                0          0        nan        nan           0           0
NsSeH                   0          0        nan        nan           0           0
NdSe                    0          0        nan        nan           0           0
NssSe                   0          0        nan        nan           0           0
NaaSe                   0          0        nan        nan           0           0
NdssSe                  0          0        nan        nan           0           0
NddssSe                 0          0        nan        nan           0           0
NsBr            2.015e-06   9.37e-07      2.151      0.042    8.18e-08    3.95e-06
NsSnH3                  0          0        nan        nan           0           0
NssSnH2                 0          0        nan        nan           0           0
NsssSnH                 0          0        nan        nan           0           0
NssssSn                 0          0        nan        nan           0           0
NsI                     0          0        nan        nan           0           0
NsPbH3                  0          0        nan        nan           0           0
NssPbH2                 0          0        nan        nan           0           0
NsssPbH                 0          0        nan        nan           0           0
NssssPb                 0          0        nan        nan           0           0
SsLi                    0          0        nan        nan           0           0
SssBe                   0          0        nan        nan           0           0
SssssBe                 0          0        nan        nan           0           0
SssBH                   0          0        nan        nan           0           0
SsssB                   0          0        nan        nan           0           0
SssssB                  0          0        nan        nan           0           0
SsCH3           3.094e-05   4.61e-05      0.671      0.509   -6.42e-05       0.000
SdCH2           1.725e-05    2.2e-05      0.785      0.440   -2.81e-05    6.26e-05
SssCH2         -2.183e-05   4.79e-05     -0.456      0.653      -0.000     7.7e-05
StCH                    0          0        nan        nan           0           0
SdsCH           7.729e-06    1.2e-05      0.643      0.526   -1.71e-05    3.25e-05
SaaCH             -0.0001      0.000     -0.889      0.383      -0.000       0.000
SsssCH                  0          0        nan        nan           0           0
SddC                    0          0        nan        nan           0           0
StsC                    0          0        nan        nan           0           0
SdssC          -3.533e-06   1.79e-06     -1.972      0.060   -7.23e-06    1.65e-07
SaasC          -4.825e-05   3.94e-05     -1.224      0.233      -0.000    3.31e-05
SaaaC                   0          0        nan        nan           0           0
SssssC          1.139e-05   5.27e-06      2.159      0.041       5e-07    2.23e-05
SsNH3                   0          0        nan        nan           0           0
SsNH2                   0          0        nan        nan           0           0
SssNH2                  0          0        nan        nan           0           0
SdNH                    0          0        nan        nan           0           0
SssNH                   0          0        nan        nan           0           0
SaaNH                   0          0        nan        nan           0           0
StN                     0          0        nan        nan           0           0
SsssNH                  0          0        nan        nan           0           0
SdsN                    0          0        nan        nan           0           0
SaaN                    0          0        nan        nan           0           0
SsssN          -5.651e-06   1.86e-06     -3.045      0.006   -9.48e-06   -1.82e-06
SddsN                   0          0        nan        nan           0           0
SaasN          -2.455e-07   5.89e-06     -0.042      0.967   -1.24e-05    1.19e-05
SssssN                  0          0        nan        nan           0           0
SsOH              -0.0001      0.000     -0.810      0.426      -0.000       0.000
SdO            -4.834e-07   4.49e-07     -1.076      0.292   -1.41e-06    4.44e-07
SssO           -1.767e-05   9.11e-05     -0.194      0.848      -0.000       0.000
SaaO                    0          0        nan        nan           0           0
SsF                0.0005      0.000      2.021      0.055      -1e-05       0.001
SsSiH3                  0          0        nan        nan           0           0
SssSiH2                 0          0        nan        nan           0           0
SsssSiH                 0          0        nan        nan           0           0
SssssSi                 0          0        nan        nan           0           0
SsPH2                   0          0        nan        nan           0           0
SssPH                   0          0        nan        nan           0           0
SsssP                   0          0        nan        nan           0           0
SdsssP                  0          0        nan        nan           0           0
SsssssP                 0          0        nan        nan           0           0
SsSH                    0          0        nan        nan           0           0
SdS                     0          0        nan        nan           0           0
SssS            1.132e-05   2.59e-05      0.437      0.666   -4.22e-05    6.48e-05
SaaS           -1.588e-06   5.11e-07     -3.104      0.005   -2.64e-06   -5.32e-07
SdssS                   0          0        nan        nan           0           0
SddssS                  0          0        nan        nan           0           0
SsCl              -0.0001   8.24e-05     -1.657      0.111      -0.000    3.36e-05
SsGeH3                  0          0        nan        nan           0           0
SssGeH2                 0          0        nan        nan           0           0
SsssGeH                 0          0        nan        nan           0           0
SssssGe                 0          0        nan        nan           0           0
SsAsH2                  0          0        nan        nan           0           0
SssAsH                  0          0        nan        nan           0           0
SsssAs                  0          0        nan        nan           0           0
SsssdAs                 0          0        nan        nan           0           0
SsssssAs                0          0        nan        nan           0           0
SsSeH                   0          0        nan        nan           0           0
SdSe                    0          0        nan        nan           0           0
SssSe                   0          0        nan        nan           0           0
SaaSe                   0          0        nan        nan           0           0
SdssSe                  0          0        nan        nan           0           0
SddssSe                 0          0        nan        nan           0           0
SsBr            7.177e-06   3.34e-06      2.151      0.042    2.91e-07    1.41e-05
SsSnH3                  0          0        nan        nan           0           0
SssSnH2                 0          0        nan        nan           0           0
SsssSnH                 0          0        nan        nan           0           0
SssssSn                 0          0        nan        nan           0           0
SsI                     0          0        nan        nan           0           0
SsPbH3                  0          0        nan        nan           0           0
SssPbH2                 0          0        nan        nan           0           0
SsssPbH                 0          0        nan        nan           0           0
SssssPb                 0          0        nan        nan           0           0
MAXsCH3         1.802e-06   7.28e-06      0.248      0.807   -1.32e-05    1.68e-05
MAXssCH2        9.134e-06   3.15e-05      0.290      0.774   -5.59e-05    7.41e-05
MAXdsCH        -5.778e-07   1.83e-06     -0.315      0.755   -4.36e-06     3.2e-06
MAXaaCH         4.174e-05   6.82e-05      0.612      0.546    -9.9e-05       0.000
MAXdssC        -3.533e-06   1.79e-06     -1.972      0.060   -7.23e-06    1.65e-07
MAXaasC         2.862e-05      0.000      0.139      0.891      -0.000       0.000
MAXsssN        -5.253e-06   2.89e-06     -1.818      0.082   -1.12e-05    7.11e-07
MAXaasN         2.903e-07   5.45e-06      0.053      0.958    -1.1e-05    1.15e-05
MAXdO          -4.834e-07   4.49e-07     -1.076      0.292   -1.41e-06    4.44e-07
MAXssS         -3.132e-06   1.33e-06     -2.353      0.027   -5.88e-06   -3.85e-07
MAXaaS         -1.588e-06   5.11e-07     -3.104      0.005   -2.64e-06   -5.32e-07
MINsCH3        -1.164e-05   1.49e-05     -0.782      0.442   -4.24e-05    1.91e-05
MINssCH2        2.596e-06   1.56e-05      0.167      0.869   -2.96e-05    3.48e-05
MINdsCH        -1.573e-06   1.42e-06     -1.108      0.279    -4.5e-06    1.36e-06
MINaaCH        -4.037e-05   3.04e-05     -1.327      0.197      -0.000    2.24e-05
MINdssC        -3.533e-06   1.79e-06     -1.972      0.060   -7.23e-06    1.65e-07
MINaasC        -4.504e-05   1.21e-05     -3.721      0.001      -7e-05   -2.01e-05
MINsssN         1.983e-06   2.52e-05      0.079      0.938      -5e-05     5.4e-05
MINaasN        -5.358e-07   4.58e-07     -1.169      0.254   -1.48e-06     4.1e-07
MINdO          -4.834e-07   4.49e-07     -1.076      0.292   -1.41e-06    4.44e-07
MINssS          -3.55e-06   1.91e-06     -1.860      0.075   -7.49e-06    3.89e-07
MINaaS         -1.588e-06   5.11e-07     -3.104      0.005   -2.64e-06   -5.32e-07
ECIndex        -3.181e-08    4.3e-08     -0.739      0.467   -1.21e-07     5.7e-08
fragCpx            0.0049      0.001      3.367      0.003       0.002       0.008
fMF             3.262e-06   1.03e-06      3.176      0.004    1.14e-06    5.38e-06
nHBAcc         -1.899e-05   1.51e-05     -1.256      0.221   -5.02e-05    1.22e-05
nHBDon         -1.173e-05   1.39e-05     -0.842      0.408   -4.05e-05     1.7e-05
IC0             6.763e-06   2.36e-05      0.286      0.777    -4.2e-05    5.55e-05
IC1             1.868e-05   8.61e-06      2.168      0.040    8.96e-07    3.65e-05
IC2              1.32e-05   3.27e-05      0.404      0.690   -5.43e-05    8.07e-05
IC3               8.7e-06   3.54e-05      0.246      0.808   -6.44e-05    8.18e-05
IC4              -1.8e-05   5.85e-06     -3.075      0.005   -3.01e-05   -5.92e-06
IC5              -1.8e-05   5.85e-06     -3.075      0.005   -3.01e-05   -5.92e-06
TIC0               0.0003      0.000      1.742      0.094   -5.47e-05       0.001
TIC1               0.0024      0.002      1.120      0.274      -0.002       0.007
TIC2               0.0039      0.004      0.882      0.387      -0.005       0.013
TIC3               0.0033      0.004      0.920      0.367      -0.004       0.011
TIC4               0.0011      0.000      3.333      0.003       0.000       0.002
TIC5               0.0011      0.000      3.333      0.003       0.000       0.002
SIC0            3.008e-06   5.72e-06      0.526      0.604    -8.8e-06    1.48e-05
SIC1            5.685e-06   2.74e-06      2.071      0.049    2.07e-08    1.13e-05
SIC2             4.36e-06   2.82e-06      1.544      0.136   -1.47e-06    1.02e-05
SIC3            4.652e-06   4.04e-06      1.153      0.260   -3.68e-06     1.3e-05
SIC4            6.923e-07   4.21e-07      1.644      0.113   -1.77e-07    1.56e-06
SIC5            6.923e-07   4.21e-07      1.644      0.113   -1.77e-07    1.56e-06
BIC0            2.495e-06   5.41e-06      0.461      0.649   -8.66e-06    1.37e-05
BIC1            4.726e-06    2.5e-06      1.891      0.071   -4.32e-07    9.88e-06
BIC2            3.303e-06   2.56e-06      1.288      0.210   -1.99e-06    8.59e-06
BIC3             3.71e-06   3.77e-06      0.983      0.335   -4.08e-06    1.15e-05
BIC4            1.293e-07   3.59e-07      0.360      0.722   -6.12e-07     8.7e-07
BIC5            1.293e-07   3.59e-07      0.360      0.722   -6.12e-07     8.7e-07
CIC0           -2.943e-05   2.85e-05     -1.031      0.313   -8.83e-05    2.95e-05
CIC1           -4.134e-05   1.27e-05     -3.260      0.003   -6.75e-05   -1.52e-05
CIC2           -3.587e-05      3e-05     -1.196      0.243   -9.78e-05     2.6e-05
CIC3           -3.136e-05   3.24e-05     -0.969      0.342   -9.82e-05    3.55e-05
CIC4           -4.669e-06   2.31e-06     -2.025      0.054   -9.43e-06    9.02e-08
CIC5           -4.669e-06   2.31e-06     -2.025      0.054   -9.43e-06    9.02e-08
MIC0               0.0002      0.000      0.494      0.626      -0.001       0.001
MIC1           -3.105e-05   4.42e-05     -0.702      0.490      -0.000    6.03e-05
MIC2               0.0002      0.000      0.731      0.472      -0.000       0.001
MIC3           -2.435e-05    6.6e-05     -0.369      0.715      -0.000       0.000
MIC4           -5.126e-05   9.93e-05     -0.516      0.610      -0.000       0.000
MIC5           -5.126e-05   9.93e-05     -0.516      0.610      -0.000       0.000
ZMIC0           5.101e-05      0.000      0.212      0.834      -0.000       0.001
ZMIC1             -0.0003      0.000     -0.569      0.574      -0.001       0.001
ZMIC2             -0.0021      0.003     -0.803      0.430      -0.007       0.003
ZMIC3             -0.0005      0.000     -1.385      0.179      -0.001       0.000
ZMIC4             -0.0002      0.000     -1.422      0.168      -0.000    7.09e-05
ZMIC5             -0.0002      0.000     -1.422      0.168      -0.000    7.09e-05
Kier1          -1.297e-05   3.97e-06     -3.270      0.003   -2.12e-05   -4.78e-06
Kier2          -3.591e-06   4.26e-06     -0.843      0.408   -1.24e-05     5.2e-06
Kier3           9.274e-06   3.71e-06      2.496      0.020    1.61e-06    1.69e-05
FilterItLogS   -7.127e-06   1.14e-05     -0.622      0.539   -3.08e-05    1.65e-05
VMcGowan          -0.0001   4.92e-05     -2.641      0.014      -0.000   -2.84e-05
LabuteASA      -7.906e-05   3.46e-05     -2.287      0.031      -0.000   -7.73e-06
PEOE_VSA1         -0.0001      0.000     -0.578      0.568      -0.001       0.000
PEOE_VSA2       8.058e-06      0.000      0.077      0.939      -0.000       0.000
PEOE_VSA3          0.0002   9.47e-05      1.923      0.066   -1.33e-05       0.000
PEOE_VSA4       3.413e-05   7.92e-05      0.431      0.671      -0.000       0.000
PEOE_VSA5       2.997e-05      0.000      0.109      0.914      -0.001       0.001
PEOE_VSA6         -0.0005      0.000     -1.902      0.069      -0.001    4.04e-05
PEOE_VSA7          0.0004      0.000      1.018      0.319      -0.000       0.001
PEOE_VSA8         -0.0001    8.5e-05     -1.301      0.206      -0.000    6.49e-05
PEOE_VSA9      -7.699e-05   9.36e-05     -0.822      0.419      -0.000       0.000
PEOE_VSA10         0.0001   5.61e-05      2.341      0.028    1.56e-05       0.000
PEOE_VSA11     -1.099e-05      0.000     -0.062      0.951      -0.000       0.000
PEOE_VSA12     -6.774e-15   2.87e-14     -0.236      0.816   -6.61e-14    5.25e-14
PEOE_VSA13     -6.617e-15   2.81e-14     -0.236      0.816   -6.45e-14    5.13e-14
SMR_VSA1        2.458e-05    6.6e-05      0.372      0.713      -0.000       0.000
SMR_VSA2                0          0        nan        nan           0           0
SMR_VSA3       -5.433e-15   2.31e-14     -0.236      0.816    -5.3e-14    4.22e-14
SMR_VSA4       -4.706e-05   3.44e-05     -1.369      0.184      -0.000    2.39e-05
SMR_VSA5           0.0001      0.000      0.408      0.687      -0.000       0.001
SMR_VSA6       -6.418e-05      0.000     -0.329      0.745      -0.000       0.000
SMR_VSA7        9.641e-05   8.98e-05      1.074      0.294   -8.89e-05       0.000
SMR_VSA8                0          0        nan        nan           0           0
SMR_VSA9       -6.829e-05   9.79e-05     -0.698      0.492      -0.000       0.000
SlogP_VSA1     -7.691e-05   2.86e-05     -2.692      0.013      -0.000    -1.8e-05
SlogP_VSA2        -0.0001      0.000     -0.434      0.668      -0.001       0.000
SlogP_VSA3      2.146e-06   1.52e-05      0.141      0.889   -2.93e-05    3.36e-05
SlogP_VSA4         0.0003      0.000      2.423      0.023    3.88e-05       0.000
SlogP_VSA5      3.876e-05      0.000      0.176      0.862      -0.000       0.000
SlogP_VSA6      2.824e-06   4.88e-05      0.058      0.954   -9.79e-05       0.000
SlogP_VSA7        -0.0001   9.02e-05     -1.296      0.207      -0.000    6.92e-05
SlogP_VSA8     -1.321e-14   5.61e-14     -0.236      0.816   -1.29e-13    1.02e-13
SlogP_VSA9              0          0        nan        nan           0           0
SlogP_VSA10        0.0001      0.000      0.840      0.409      -0.000       0.000
SlogP_VSA11    -6.829e-05   9.79e-05     -0.698      0.492      -0.000       0.000
EState_VSA1     8.296e-06   4.63e-05      0.179      0.859   -8.73e-05       0.000
EState_VSA2        0.0001      0.000      0.974      0.340      -0.000       0.000
EState_VSA3        0.0014      0.002      0.644      0.525      -0.003       0.006
EState_VSA4       -0.0015      0.002     -0.637      0.530      -0.006       0.003
EState_VSA5       -0.0003      0.008     -0.039      0.969      -0.017       0.016
EState_VSA6        0.0031      0.018      0.173      0.864      -0.034       0.040
EState_VSA7       -0.0050      0.005     -0.908      0.373      -0.016       0.006
EState_VSA8        0.0023      0.007      0.333      0.742      -0.012       0.017
EState_VSA9       -0.0003      0.000     -1.046      0.306      -0.001       0.000
EState_VSA10    8.084e-05    8.1e-05      0.998      0.328   -8.63e-05       0.000
VSA_EState1        0.0005      0.000      2.365      0.026     6.3e-05       0.001
VSA_EState2     3.697e-07   1.41e-05      0.026      0.979   -2.88e-05    2.96e-05
VSA_EState3       -0.0002      0.000     -1.639      0.114      -0.000     4.4e-05
VSA_EState4     -2.21e-05   3.72e-05     -0.593      0.558    -9.9e-05    5.48e-05
VSA_EState5    -1.905e-05   1.85e-05     -1.032      0.312   -5.72e-05    1.91e-05
VSA_EState6       -0.0001      0.000     -0.885      0.385      -0.000       0.000
VSA_EState7     3.036e-05   3.58e-05      0.849      0.404   -4.35e-05       0.000
VSA_EState8     3.105e-05   9.88e-05      0.314      0.756      -0.000       0.000
VSA_EState9    -2.177e-05   5.96e-05     -0.366      0.718      -0.000       0.000
MDEC-11        -6.134e-05   1.61e-05     -3.807      0.001   -9.46e-05   -2.81e-05
MDEC-12            0.0004      0.000      2.690      0.013    8.79e-05       0.001
MDEC-13        -1.972e-05   3.96e-05     -0.498      0.623      -0.000     6.2e-05
MDEC-22           -0.0001      0.000     -1.305      0.204      -0.000    7.73e-05
MDEC-23         7.289e-05   9.62e-05      0.758      0.456      -0.000       0.000
MDEC-33            0.0001      0.000      1.000      0.327      -0.000       0.000
MDEN-33        -1.604e-06      5e-06     -0.321      0.751   -1.19e-05    8.72e-06
MPC2            1.244e-05   8.76e-06      1.419      0.169   -5.65e-06    3.05e-05
MPC3             2.33e-05   1.45e-05      1.603      0.122   -6.71e-06    5.33e-05
MPC4            3.967e-05   1.32e-05      3.004      0.006    1.24e-05    6.69e-05
MPC5            7.844e-05   2.27e-05      3.460      0.002    3.16e-05       0.000
MPC6            8.771e-05   5.11e-05      1.716      0.099   -1.78e-05       0.000
MPC7            9.311e-05   8.07e-05      1.154      0.260   -7.34e-05       0.000
MPC8               0.0001      0.000      1.142      0.265      -0.000       0.000
MPC9               0.0001      0.000      0.793      0.436      -0.000       0.000
MPC10           9.928e-05      0.000      0.527      0.603      -0.000       0.000
TMPC10             0.0007      0.001      1.084      0.289      -0.001       0.002
piPC1          -1.062e-05   3.21e-06     -3.304      0.003   -1.72e-05   -3.99e-06
piPC2          -8.713e-06    4.3e-06     -2.027      0.054   -1.76e-05    1.58e-07
piPC3          -7.088e-06   3.04e-06     -2.329      0.029   -1.34e-05   -8.07e-07
piPC4          -6.024e-06   3.38e-06     -1.781      0.088    -1.3e-05    9.56e-07
piPC5           -7.83e-06   4.98e-06     -1.573      0.129   -1.81e-05    2.45e-06
piPC6          -8.042e-06   3.83e-06     -2.098      0.047    -1.6e-05   -1.32e-07
piPC7          -7.694e-06   3.19e-06     -2.415      0.024   -1.43e-05   -1.12e-06
piPC8          -9.277e-06   5.66e-06     -1.638      0.114    -2.1e-05    2.41e-06
piPC9          -1.436e-05   8.09e-06     -1.775      0.089   -3.11e-05    2.33e-06
piPC10         -2.045e-05   1.13e-05     -1.811      0.083   -4.38e-05    2.85e-06
TpiPC10        -1.388e-05   7.58e-06     -1.832      0.079   -2.95e-05    1.76e-06
apol           -1.595e-05   6.09e-06     -2.620      0.015   -2.85e-05   -3.38e-06
bpol            3.097e-05   1.52e-05      2.033      0.053   -4.75e-07    6.24e-05
nRing           2.194e-09   6.25e-10      3.511      0.002    9.05e-10    3.48e-09
n3Ring                  0          0        nan        nan           0           0
n4Ring                  0          0        nan        nan           0           0
n5Ring         -2.377e-15   1.01e-14     -0.235      0.816   -2.32e-14    1.85e-14
n6Ring          2.194e-09   6.25e-10      3.511      0.002    9.05e-10    3.48e-09
n7Ring                  0          0        nan        nan           0           0
n8Ring                  0          0        nan        nan           0           0
n9Ring                  0          0        nan        nan           0           0
n10Ring                 0          0        nan        nan           0           0
n11Ring                 0          0        nan        nan           0           0
n12Ring                 0          0        nan        nan           0           0
nG12Ring                0          0        nan        nan           0           0
nHRing         -3.569e-15   1.51e-14     -0.236      0.816   -3.48e-14    2.77e-14
n3HRing                 0          0        nan        nan           0           0
n4HRing                 0          0        nan        nan           0           0
n5HRing        -2.377e-15   1.01e-14     -0.235      0.816   -2.32e-14    1.85e-14
n6HRing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n7HRing                 0          0        nan        nan           0           0
n8HRing                 0          0        nan        nan           0           0
n9HRing                 0          0        nan        nan           0           0
n10HRing                0          0        nan        nan           0           0
n11HRing                0          0        nan        nan           0           0
n12HRing                0          0        nan        nan           0           0
nG12HRing               0          0        nan        nan           0           0
naRing          2.194e-09   6.25e-10      3.511      0.002    9.05e-10    3.48e-09
n3aRing                 0          0        nan        nan           0           0
n4aRing                 0          0        nan        nan           0           0
n5aRing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n6aRing         2.194e-09   6.25e-10      3.511      0.002    9.05e-10    3.48e-09
n7aRing                 0          0        nan        nan           0           0
n8aRing                 0          0        nan        nan           0           0
n9aRing                 0          0        nan        nan           0           0
n10aRing                0          0        nan        nan           0           0
n11aRing                0          0        nan        nan           0           0
n12aRing                0          0        nan        nan           0           0
nG12aRing               0          0        nan        nan           0           0
naHRing        -2.377e-15   1.01e-14     -0.235      0.816   -2.32e-14    1.85e-14
n3aHRing                0          0        nan        nan           0           0
n4aHRing                0          0        nan        nan           0           0
n5aHRing       -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n6aHRing       -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n7aHRing                0          0        nan        nan           0           0
n8aHRing                0          0        nan        nan           0           0
n9aHRing                0          0        nan        nan           0           0
n10aHRing               0          0        nan        nan           0           0
n11aHRing               0          0        nan        nan           0           0
n12aHRing               0          0        nan        nan           0           0
nG12aHRing              0          0        nan        nan           0           0
nARing         -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n3ARing                 0          0        nan        nan           0           0
n4ARing                 0          0        nan        nan           0           0
n5ARing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n6ARing                 0          0        nan        nan           0           0
n7ARing                 0          0        nan        nan           0           0
n8ARing                 0          0        nan        nan           0           0
n9ARing                 0          0        nan        nan           0           0
n10ARing                0          0        nan        nan           0           0
n11ARing                0          0        nan        nan           0           0
n12ARing                0          0        nan        nan           0           0
nG12ARing               0          0        nan        nan           0           0
nAHRing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n3AHRing                0          0        nan        nan           0           0
n4AHRing                0          0        nan        nan           0           0
n5AHRing       -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n6AHRing                0          0        nan        nan           0           0
n7AHRing                0          0        nan        nan           0           0
n8AHRing                0          0        nan        nan           0           0
n9AHRing                0          0        nan        nan           0           0
n10AHRing               0          0        nan        nan           0           0
n11AHRing               0          0        nan        nan           0           0
n12AHRing               0          0        nan        nan           0           0
nG12AHRing              0          0        nan        nan           0           0
nFRing         -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n4FRing                 0          0        nan        nan           0           0
n5FRing                 0          0        nan        nan           0           0
n6FRing                 0          0        nan        nan           0           0
n7FRing                 0          0        nan        nan           0           0
n8FRing                 0          0        nan        nan           0           0
n9FRing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n10FRing                0          0        nan        nan           0           0
n11FRing                0          0        nan        nan           0           0
n12FRing                0          0        nan        nan           0           0
nG12FRing               0          0        nan        nan           0           0
nFHRing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n4FHRing                0          0        nan        nan           0           0
n5FHRing                0          0        nan        nan           0           0
n6FHRing                0          0        nan        nan           0           0
n7FHRing                0          0        nan        nan           0           0
n8FHRing                0          0        nan        nan           0           0
n9FHRing       -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n10FHRing               0          0        nan        nan           0           0
n11FHRing               0          0        nan        nan           0           0
n12FHRing               0          0        nan        nan           0           0
nG12FHRing              0          0        nan        nan           0           0
nFaRing                 0          0        nan        nan           0           0
n4FaRing                0          0        nan        nan           0           0
n5FaRing                0          0        nan        nan           0           0
n6FaRing                0          0        nan        nan           0           0
n7FaRing                0          0        nan        nan           0           0
n8FaRing                0          0        nan        nan           0           0
n9FaRing                0          0        nan        nan           0           0
n10FaRing               0          0        nan        nan           0           0
n11FaRing               0          0        nan        nan           0           0
n12FaRing               0          0        nan        nan           0           0
nG12FaRing              0          0        nan        nan           0           0
nFaHRing                0          0        nan        nan           0           0
n4FaHRing               0          0        nan        nan           0           0
n5FaHRing               0          0        nan        nan           0           0
n6FaHRing               0          0        nan        nan           0           0
n7FaHRing               0          0        nan        nan           0           0
n8FaHRing               0          0        nan        nan           0           0
n9FaHRing               0          0        nan        nan           0           0
n10FaHRing              0          0        nan        nan           0           0
n11FaHRing              0          0        nan        nan           0           0
n12FaHRing              0          0        nan        nan           0           0
nG12FaHRing             0          0        nan        nan           0           0
nFARing        -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n4FARing                0          0        nan        nan           0           0
n5FARing                0          0        nan        nan           0           0
n6FARing                0          0        nan        nan           0           0
n7FARing                0          0        nan        nan           0           0
n8FARing                0          0        nan        nan           0           0
n9FARing       -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n10FARing               0          0        nan        nan           0           0
n11FARing               0          0        nan        nan           0           0
n12FARing               0          0        nan        nan           0           0
nG12FARing              0          0        nan        nan           0           0
nFAHRing       -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n4FAHRing               0          0        nan        nan           0           0
n5FAHRing               0          0        nan        nan           0           0
n6FAHRing               0          0        nan        nan           0           0
n7FAHRing               0          0        nan        nan           0           0
n8FAHRing               0          0        nan        nan           0           0
n9FAHRing      -1.189e-15   5.05e-15     -0.235      0.816   -1.16e-14    9.23e-15
n10FAHRing              0          0        nan        nan           0           0
n11FAHRing              0          0        nan        nan           0           0
n12FAHRing              0          0        nan        nan           0           0
nG12FAHRing             0          0        nan        nan           0           0
nRot           -1.036e-05   1.16e-05     -0.890      0.382   -3.44e-05    1.37e-05
RotRatio       -7.734e-06   2.08e-06     -3.720      0.001    -1.2e-05   -3.44e-06
SLogP            8.73e-06   2.99e-05      0.292      0.773   -5.29e-05    7.04e-05
SMR            -4.853e-05   2.71e-05     -1.790      0.086      -0.000    7.42e-06
TopoPSA(NO)       -0.0004      0.000     -1.057      0.301      -0.001       0.000
TopoPSA           -0.0001      0.000     -0.370      0.715      -0.001       0.001
GGI1            1.334e-05   6.89e-06      1.936      0.065    -8.8e-07    2.76e-05
GGI2            4.241e-06   2.82e-06      1.501      0.146   -1.59e-06    1.01e-05
GGI3            9.594e-07   1.04e-06      0.922      0.366   -1.19e-06    3.11e-06
GGI4            5.117e-06   2.22e-06      2.307      0.030    5.39e-07    9.69e-06
GGI5            8.783e-07   1.08e-06      0.813      0.424   -1.35e-06    3.11e-06
GGI6           -3.925e-07   7.65e-07     -0.513      0.612   -1.97e-06    1.19e-06
