Descriptor                     coef    stderr          t      pvals      y      z
ATSC1c          2.258e-06   2.12e-06      1.067      0.296   -2.11e-06    6.62e-06
ATSC2c          7.698e-07   3.52e-06      0.219      0.828   -6.48e-06    8.02e-06
ATSC3c         -2.223e-06   3.61e-06     -0.615      0.544   -9.68e-06    5.23e-06
ATSC4c          1.479e-06   1.87e-06      0.791      0.437   -2.38e-06    5.34e-06
ATSC5c          1.058e-06   8.28e-07      1.279      0.213    -6.5e-07    2.77e-06
ATSC6c          7.528e-07   2.56e-06      0.294      0.771   -4.53e-06    6.03e-06
ATSC7c         -5.057e-06   7.37e-06     -0.686      0.499   -2.03e-05    1.02e-05
ATSC8c           2.72e-06    5.4e-06      0.503      0.619   -8.43e-06    1.39e-05
ATSC0dv            0.0006      0.001      0.622      0.540      -0.001       0.003
ATSC1dv            0.0002      0.001      0.120      0.905      -0.003       0.003
ATSC2dv         1.838e-05      0.002      0.010      0.992      -0.004       0.004
ATSC3dv           -0.0007      0.003     -0.269      0.791      -0.006       0.005
ATSC4dv            0.0003      0.002      0.177      0.861      -0.003       0.003
ATSC5dv           -0.0006      0.003     -0.185      0.855      -0.007       0.006
ATSC6dv           -0.0012      0.002     -0.561      0.580      -0.006       0.003
ATSC7dv            0.0011      0.002      0.665      0.512      -0.002       0.004
ATSC8dv            0.0019      0.004      0.479      0.636      -0.006       0.010
ATSC0d          5.038e-05   4.55e-05      1.108      0.279   -4.34e-05       0.000
ATSC1d          9.021e-05   7.46e-05      1.209      0.239   -6.39e-05       0.000
ATSC2d          4.958e-05   6.53e-05      0.759      0.455   -8.53e-05       0.000
ATSC3d            -0.0002      0.000     -1.593      0.124      -0.000    6.06e-05
ATSC4d          -4.59e-05   3.52e-05     -1.303      0.205      -0.000    2.68e-05
ATSC5d          2.341e-05      0.000      0.170      0.866      -0.000       0.000
ATSC6d         -7.494e-05   4.76e-05     -1.575      0.128      -0.000    2.32e-05
ATSC7d          3.245e-05   5.63e-05      0.576      0.570   -8.38e-05       0.000
ATSC8d             0.0001      0.000      0.527      0.603      -0.000       0.001
ATSC0Z             0.0002      0.000      0.567      0.576      -0.000       0.001
ATSC1Z             0.0003   7.86e-05      3.856      0.001       0.000       0.000
ATSC2Z            -0.0010      0.000     -2.854      0.009      -0.002      -0.000
ATSC3Z             0.0020      0.001      2.332      0.028       0.000       0.004
ATSC4Z             0.0009      0.001      1.589      0.125      -0.000       0.002
